id,positive ratings,negative ratings,total reviews,rating percentage,category,first_release_date,platforms,genres,game,aggregated_rating,aggregated_rating_count,game_engines,game_modes,player_perspectives,remakes
99969,"401,349","5,312","406,661",97.70%,dlc_addon,2011-06-16,"['PC (Microsoft Windows)', 'PlayStation 3']","['Shooter', 'Puzzle', 'Adventure']",Portal 2,,,,,,
17000,"747,919","12,739","760,658",97.51%,main_game,2016-02-25,"['PC (Microsoft Windows)', 'Wii U', 'PlayStation Vita', 'PlayStation 4', 'Android', 'Xbox One', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",Stardew Valley,90.53846153846153,17.0,['Microsoft XNA'],"['Single player', 'Multiplayer', 'Co-operative']",['Bird view / Isometric'],
122646,"256,855","3,615","260,470",97.47%,main_game,2019-07-22,['PC (Microsoft Windows)'],['Simulator'],People Playground,,,['Unity'],['Single player'],['Side view'],
186725,"232,095","3,542","235,637",97.33%,main_game,2022-01-31,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Android', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",Vampire Survivors,91.4,6.0,,"['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",['Bird view / Isometric'],
113112,"263,680","4,541","268,221",97.19%,main_game,2020-09-16,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'iOS', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Hades,94.0625,20.0,['Proprietary Engine'],['Single player'],['Bird view / Isometric'],
317175,"162,350","2,528","164,878",97.16%,main_game,1726876800,"['PC (Microsoft Windows)', 'Android']","['Shooter', 'Adventure', 'Indie']",Portal,,,['id Tech 2'],"['Single player', 'Multiplayer', 'Co-operative']",['First person'],
206336,"30,955",239,"31,194",97.05%,main_game,1656028800,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",HoloCure - Save the Fans!,,,['GameMaker: Studio'],['Single player'],['Bird view / Isometric'],
1879,"1,303,041","33,014","1,336,055",96.85%,main_game,1305504000,"['PC (Microsoft Windows)', 'Wii U', 'PlayStation 3', 'PlayStation Vita', 'Windows Phone', 'Google Stadia', 'Nintendo 3DS', 'PlayStation 4', 'Xbox 360', 'Android']","['Platform', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",Terraria,81.0,17.0,,"['Single player', 'Multiplayer', 'Co-operative']",['Side view'],
9789,"190,515","3,902","194,417",96.77%,main_game,1539734400,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Indie']",RimWorld,74.5,3.0,['Unity'],['Single player'],['Bird view / Isometric'],
126098,"90,151","1,547","91,698",96.76%,main_game,1584921600,"['SteamVR', 'Oculus Rift', 'Windows Mixed Reality']","['Shooter', 'Puzzle', 'Adventure']",Half-Life: Alyx,92.77777777777777,11.0,['Source 2'],['Single player'],['Virtual Reality'],
124,"867,662","22,184","889,846",96.74%,main_game,1258416000,"['PC (Microsoft Windows)', 'Xbox 360', 'Linux', 'Mac']",,Left 4 Dead 2,88.6,7.0,['Source'],"['Single player', 'Multiplayer', 'Co-operative']",['First person'],
120710,"45,901",624,"46,525",96.74%,bundle,1596758400,"['PC (Microsoft Windows)', 'Mac']",,The Henry Stickmin Collection,,,,['Single player'],,
135818,"60,570",971,"61,541",96.67%,main_game,1674691200,"['PC (Microsoft Windows)', 'Nintendo Switch']",,Pizza Tower,90.0,1.0,['GameMaker: Studio'],"['Single player', 'Multiplayer', 'Co-operative']",['Side view'],
116753,"17,114",137,"17,251",96.60%,main_game,1564444800,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']",,A Short Hike,77.5,2.0,['Unity'],['Single player'],['Bird view / Isometric'],
52973,"781,905","21,153","803,058",96.58%,main_game,1388448000,['PC (Microsoft Windows)'],,Euro Truck Simulator 2,,,,['Single player'],"['First person', 'Third person']",
296831,"162,279","3,568","165,847",96.56%,main_game,,['PC (Microsoft Windows)'],,Slay the Spire,,,,,,
16287,"122,498","2,601","125,099",96.52%,main_game,1501545600,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac']",,Slime Rancher,77.66666666666667,4.0,['Unity'],['Single player'],['First person'],
